classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.706715,Description,0.8896713615023474,0.7373540856031129,0.8063829787234041,514
BernoulliNB,CountVectorizer,0.706715,Misc-exposition,0.8875552747946936,0.9736659736659736,0.9286186384666227,2886
BernoulliNB,CountVectorizer,0.706715,Nomenclature,0.8702928870292888,0.48259860788863107,0.6208955223880597,431
BernoulliNB,TfidfVectorizer,0.666810,Description,0.8896713615023474,0.7373540856031129,0.8063829787234041,514
BernoulliNB,TfidfVectorizer,0.666810,Misc-exposition,0.8875552747946936,0.9736659736659736,0.9286186384666227,2886
BernoulliNB,TfidfVectorizer,0.666810,Nomenclature,0.8702928870292888,0.48259860788863107,0.6208955223880597,431
RandomForestClassifier,CountVectorizer,2.378013,Description,0.9594882729211087,0.8754863813229572,0.9155645981688708,514
RandomForestClassifier,CountVectorizer,2.378013,Misc-exposition,0.9590191467920726,0.9892584892584892,0.973904144635852,2886
RandomForestClassifier,CountVectorizer,2.378013,Nomenclature,0.9688311688311688,0.8654292343387471,0.9142156862745098,431
RandomForestClassifier,TfidfVectorizer,2.212450,Description,0.9676025917926566,0.8715953307392996,0.9170931422722621,514
RandomForestClassifier,TfidfVectorizer,2.212450,Misc-exposition,0.9562312061476779,0.9916839916839917,0.9736349719340024,2886
RandomForestClassifier,TfidfVectorizer,2.212450,Nomenclature,0.976,0.8491879350348028,0.9081885856079405,431
AdaBoostClassifier,CountVectorizer,1.791791,Description,0.8221757322175732,0.7645914396887159,0.7923387096774193,514
AdaBoostClassifier,CountVectorizer,1.791791,Misc-exposition,0.9257891202149093,0.9553014553014553,0.9403137789904501,2886
AdaBoostClassifier,CountVectorizer,1.791791,Nomenclature,0.8826666666666667,0.7679814385150812,0.8213399503722084,431
AdaBoostClassifier,TfidfVectorizer,2.546643,Description,0.73828125,0.7354085603112841,0.736842105263158,514
AdaBoostClassifier,TfidfVectorizer,2.546643,Misc-exposition,0.9147574123989218,0.9407484407484408,0.9275708916979843,2886
AdaBoostClassifier,TfidfVectorizer,2.546643,Nomenclature,0.8917378917378918,0.7262180974477959,0.8005115089514067,431
ExtraTreesClassifier,CountVectorizer,1.488882,Description,0.9183266932270916,0.896887159533074,0.90748031496063,514
ExtraTreesClassifier,CountVectorizer,1.488882,Misc-exposition,0.9584178498985801,0.9823284823284824,0.9702258726899384,2886
ExtraTreesClassifier,CountVectorizer,1.488882,Nomenclature,0.9730458221024259,0.8375870069605569,0.9002493765586035,431
ExtraTreesClassifier,TfidfVectorizer,1.505158,Description,0.9348268839103869,0.8929961089494164,0.9134328358208955,514
ExtraTreesClassifier,TfidfVectorizer,1.505158,Misc-exposition,0.9539805172992946,0.9840609840609841,0.9687873102507247,2886
ExtraTreesClassifier,TfidfVectorizer,1.505158,Nomenclature,0.9586776859504132,0.8074245939675174,0.8765743073047859,431
GradientBoostingClassifier,CountVectorizer,11.900189,Description,0.9368421052631579,0.8657587548638133,0.8998988877654197,514
GradientBoostingClassifier,CountVectorizer,11.900189,Misc-exposition,0.9473859473859474,0.9857934857934858,0.9662081847512312,2886
GradientBoostingClassifier,CountVectorizer,11.900189,Nomenclature,0.9688385269121813,0.7935034802784223,0.8724489795918368,431
GradientBoostingClassifier,TfidfVectorizer,22.382452,Description,0.9323467230443975,0.857976653696498,0.8936170212765958,514
GradientBoostingClassifier,TfidfVectorizer,22.382452,Misc-exposition,0.9469823274424808,0.9840609840609841,0.9651656754460493,2886
GradientBoostingClassifier,TfidfVectorizer,22.382452,Nomenclature,0.958217270194986,0.7981438515081206,0.8708860759493671,431
DecisionTreeClassifier,CountVectorizer,1.909437,Description,0.8967611336032388,0.8618677042801557,0.878968253968254,514
DecisionTreeClassifier,CountVectorizer,1.909437,Misc-exposition,0.9572708476912474,0.9625779625779626,0.9599170697995854,2886
DecisionTreeClassifier,CountVectorizer,1.909437,Nomenclature,0.8666666666666667,0.8747099767981439,0.8706697459584296,431
DecisionTreeClassifier,TfidfVectorizer,2.142130,Description,0.8959183673469387,0.8540856031128404,0.8745019920318724,514
DecisionTreeClassifier,TfidfVectorizer,2.142130,Misc-exposition,0.9536310944425503,0.9691614691614692,0.9613335624677779,2886
DecisionTreeClassifier,TfidfVectorizer,2.142130,Nomenclature,0.9068627450980392,0.8584686774941995,0.8820023837902264,431
CalibratedClassifierCV,CountVectorizer,1.865832,Description,0.9550321199143469,0.867704280155642,0.9092762487257899,514
CalibratedClassifierCV,CountVectorizer,1.865832,Misc-exposition,0.9563611950318899,0.9871794871794872,0.9715260017050298,2886
CalibratedClassifierCV,CountVectorizer,1.865832,Nomenclature,0.9532467532467532,0.851508120649652,0.8995098039215687,431
CalibratedClassifierCV,TfidfVectorizer,0.900965,Description,0.9628099173553719,0.9066147859922179,0.9338677354709418,514
CalibratedClassifierCV,TfidfVectorizer,0.900965,Misc-exposition,0.9680489462950373,0.9868329868329868,0.9773507206588882,2886
CalibratedClassifierCV,TfidfVectorizer,0.900965,Nomenclature,0.945679012345679,0.888631090487239,0.9162679425837319,431
DummyClassifier,CountVectorizer,0.621554,Description,0.14579439252336449,0.1517509727626459,0.1487130600571973,514
DummyClassifier,CountVectorizer,0.621554,Misc-exposition,0.7472527472527473,0.753984753984754,0.7506036564332529,2886
DummyClassifier,CountVectorizer,0.621554,Nomenclature,0.1015625,0.09048723897911833,0.09570552147239264,431
DummyClassifier,TfidfVectorizer,0.639714,Description,0.14579439252336449,0.1517509727626459,0.1487130600571973,514
DummyClassifier,TfidfVectorizer,0.639714,Misc-exposition,0.7472527472527473,0.753984753984754,0.7506036564332529,2886
DummyClassifier,TfidfVectorizer,0.639714,Nomenclature,0.1015625,0.09048723897911833,0.09570552147239264,431
PassiveAggressiveClassifier,CountVectorizer,0.649856,Description,0.9659574468085106,0.8832684824902723,0.9227642276422764,514
PassiveAggressiveClassifier,CountVectorizer,0.649856,Misc-exposition,0.9619143916413886,0.988911988911989,0.9752263796343755,2886
PassiveAggressiveClassifier,CountVectorizer,0.649856,Nomenclature,0.9517766497461929,0.8700696055684455,0.9090909090909092,431
PassiveAggressiveClassifier,TfidfVectorizer,0.649964,Description,0.9525773195876288,0.8988326848249028,0.9249249249249248,514
PassiveAggressiveClassifier,TfidfVectorizer,0.649964,Misc-exposition,0.9672131147540983,0.9812889812889813,0.9742002063983488,2886
PassiveAggressiveClassifier,TfidfVectorizer,0.649964,Nomenclature,0.9210526315789473,0.8932714617169374,0.906949352179034,431
RidgeClassifier,CountVectorizer,3.279306,Description,0.9423076923076923,0.857976653696498,0.8981670061099796,514
RidgeClassifier,CountVectorizer,3.279306,Misc-exposition,0.9478086316493811,0.9816354816354816,0.9644255319148937,2886
RidgeClassifier,CountVectorizer,3.279306,Nomenclature,0.9278074866310161,0.8051044083526682,0.8621118012422361,431
RidgeClassifier,TfidfVectorizer,0.886796,Description,0.9642857142857143,0.8929961089494164,0.9272727272727272,514
RidgeClassifier,TfidfVectorizer,0.886796,Misc-exposition,0.9619784656796769,0.9906444906444907,0.9761010583817001,2886
RidgeClassifier,TfidfVectorizer,0.886796,Nomenclature,0.9686684073107049,0.8607888631090487,0.9115479115479116,431
SGDClassifier,CountVectorizer,0.646377,Description,0.9533898305084746,0.8754863813229572,0.9127789046653144,514
SGDClassifier,CountVectorizer,0.646377,Misc-exposition,0.9572678331090175,0.9857934857934858,0.9713212700580404,2886
SGDClassifier,CountVectorizer,0.646377,Nomenclature,0.9509043927648578,0.8538283062645011,0.8997555012224939,431
SGDClassifier,TfidfVectorizer,0.655956,Description,0.9587628865979382,0.9046692607003891,0.9309309309309309,514
SGDClassifier,TfidfVectorizer,0.655956,Misc-exposition,0.9664406779661017,0.9878724878724878,0.977039067854695,2886
SGDClassifier,TfidfVectorizer,0.655956,Nomenclature,0.9570707070707071,0.8793503480278422,0.9165659008464329,431
OneVsRestClassifier,CountVectorizer,8.656829,Description,0.9421487603305785,0.8871595330739299,0.9138276553106212,514
OneVsRestClassifier,CountVectorizer,8.656829,Misc-exposition,0.9651520327980868,0.9788634788634789,0.97195940134182,2886
OneVsRestClassifier,CountVectorizer,8.656829,Nomenclature,0.919047619047619,0.8955916473317865,0.9071680376028202,431
OneVsRestClassifier,TfidfVectorizer,13.042111,Description,0.9587628865979382,0.9046692607003891,0.9309309309309309,514
OneVsRestClassifier,TfidfVectorizer,13.042111,Misc-exposition,0.9667571234735414,0.9875259875259875,0.9770311964346932,2886
OneVsRestClassifier,TfidfVectorizer,13.042111,Nomenclature,0.9547738693467337,0.8816705336426914,0.9167671893848011,431
OneVsRestClassifier,CountVectorizer,1.824160,Description,0.9520833333333333,0.8891050583657587,0.9195171026156941,514
OneVsRestClassifier,CountVectorizer,1.824160,Misc-exposition,0.9643826322930801,0.9851004851004851,0.9746314706890642,2886
OneVsRestClassifier,CountVectorizer,1.824160,Nomenclature,0.9454094292803971,0.8839907192575406,0.9136690647482014,431
OneVsRestClassifier,TfidfVectorizer,0.828184,Description,0.9587852494577006,0.8599221789883269,0.9066666666666667,514
OneVsRestClassifier,TfidfVectorizer,0.828184,Misc-exposition,0.9377049180327869,0.990990990990991,0.9636118598382749,2886
OneVsRestClassifier,TfidfVectorizer,0.828184,Nomenclature,0.975,0.7238979118329466,0.8308921438082556,431
